GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sensor-data-processor,com.sensordata,SensorDataProcessorApp,89,0,6,0,16,0,5,0,2,0
sensor-data-processor,com.sensordata,SensorDataProcessor,0,289,1,23,0,37,1,14,0,3
